#body,head,ruleId,isAgg,isTx
transferFrom,totalTokenOut,1,true,false
totalTokenOut,balanceOf,2,false,false
totalInitial,balanceOf,2,false,false
totalTokenIn,balanceOf,2,false,false
totalTokenMint,balanceOf,2,false,false
auctionMintAction,totalAuctionBy,3,true,false
msgSender,setAuctionSaleStartTimeAction,4,false,true
owner,setAuctionSaleStartTimeAction,4,false,true
allowlist,allowlistMintAction,6,false,true
mintlistPrice,allowlistMintAction,6,false,true
msgSender,allowlistMintAction,6,false,true
numberMinted,publicSaleMintAction,7,false,true
publicSaleKey,publicSaleMintAction,7,false,true
publicSaleStartTime,publicSaleMintAction,7,false,true
msgSender,publicSaleMintAction,7,false,true
publicPrice,publicSaleMintAction,7,false,true
maxPerAddressDuringMint,publicSaleMintAction,7,false,true
approveAction,getApproved,8,false,false
mintToken,totalTokenMint,9,true,false
setPublicSaleKeyAction,publicSaleKey,10,false,false
msgSender,approveAction,11,false,true
ownerOf,approveAction,11,false,true
publicSaleMintAction,totalPublicBy,13,true,false
msgSender,auctionMintAction,14,false,true
maxPerAddressDuringMint,auctionMintAction,14,false,true
numberMinted,auctionMintAction,14,false,true
auctionSaleStartTime,auctionMintAction,14,false,true
amountForAuctionAndDev,auctionMintAction,14,false,true
transferFrom,ownerOf,15,false,false
owner,seedAllowlistAction,17,false,true
msgSender,seedAllowlistAction,17,false,true
initialApproval,getApproved,18,false,false
devMintAction,totalDevBy,19,true,false
initialBalance,totalInitial,20,true,false
transferFrom,initialBalance,21,false,false
mintToken,initialApproval,22,false,false
endAuctionAndSetupNonAuctionSaleInfoAction,publicSaleStartTime,23,false,false
totalAuctionBy,numberMinted,24,false,false
totalAllowlistBy,numberMinted,24,false,false
totalPublicBy,numberMinted,24,false,false
totalDevBy,numberMinted,24,false,false
endAuctionAndSetupNonAuctionSaleInfoAction,publicPrice,25,false,false
mintToken,initialBalance,27,false,false
owner,mintToken,30,false,true
msgSender,mintToken,30,false,true
msgSender,setApprovalForAllAction,31,false,true
isApprovedForAll,transferFrom,32,false,true
ownerOf,transferFrom,32,false,true
msgSender,transferFrom,32,false,true
transferFrom,initialBalance,33,false,false
allowlistMintAction,totalAllowlistBy,34,true,false
ownerOf,transferFrom,35,false,true
msgSender,transferFrom,35,false,true
getApproved,transferFrom,35,false,true
msgSender,transferFrom,36,false,true
ownerOf,transferFrom,36,false,true
mintToken,ownerOf,37,false,false
owner,endAuctionAndSetupNonAuctionSaleInfoAction,38,false,true
msgSender,endAuctionAndSetupNonAuctionSaleInfoAction,38,false,true
seedAllowlistAction,allowlist,39,true,false
owner,setPublicSaleKeyAction,40,false,true
msgSender,setPublicSaleKeyAction,40,false,true
setAuctionSaleStartTimeAction,auctionSaleStartTime,41,false,false
approveAction,initialApproval,42,false,false
endAuctionAndSetupNonAuctionSaleInfoAction,mintlistPrice,44,false,false
setApprovalForAllAction,isApprovedForAll,46,false,false
transferFrom,initialApproval,47,false,false
endAuctionAndSetupNonAuctionSaleInfoAction,auctionSaleStartTime,48,false,false
transferFrom,getApproved,49,false,false
transferFrom,totalTokenIn,50,true,false
msgSender,devMintAction,51,false,true
owner,devMintAction,51,false,true
amountForDevs,devMintAction,51,false,true
