#body,head,ruleId,isAgg,isTx
delegateChain,delegateChain,0,false,false
delegate,delegateChain,0,false,false
delegateChain,delegationCycle,1,false,false
giveRightToVote,hasRight,2,false,false
vote,voted,3,false,false
effectiveDelegate,effectivedelegator,4,false,false
hasRight,delegate,5,false,true
msgSender,delegate,5,false,true
voted,delegate,5,false,true
delegate,delegateChain,6,false,false
delegate,voted,7,false,false
voteCount,winningProposal,8,true,false
vote,effectiveVote,9,false,false
voted,vote,11,false,true
msgSender,vote,11,false,true
hasRight,vote,11,false,true
delegate,effectiveDelegate,12,false,false
voted,giveRightToVote,13,false,true
chairperson,giveRightToVote,13,false,true
hasRight,giveRightToVote,13,false,true
msgSender,giveRightToVote,13,false,true
effectiveVote,voteCount,14,true,false
effectiveVote,effectiveVote,15,false,false
effectivedelegator,effectiveVote,15,false,false
vote,voteAndDelegate,17,false,false
delegate,voteAndDelegate,17,false,false
