#body,head,ruleId,isAgg,isTx
finalize,isFinalized,0,false,false
totalSupply,canFinalize,1,false,false
tokenCreationCap,canFinalize,1,false,false
mint,allMint,3,true,false
createTokens,totalEthRaised,4,true,false
totalIn,balanceOf,6,false,false
totalMint,balanceOf,6,false,false
totalBurn,balanceOf,6,false,false
totalOut,balanceOf,6,false,false
burn,allBurn,8,true,false
increaseAllowance,allowanceTotal,9,true,false
transferFrom,transfer,10,false,false
allowance,decreaseAllowance,11,false,true
msgSender,decreaseAllowance,11,false,true
tokenExchangeRate,createTokens,12,false,true
isFinalized,createTokens,12,false,true
msgValue,createTokens,12,false,true
fundingEndBlock,createTokens,12,false,true
fundingStartBlock,createTokens,12,false,true
now,createTokens,12,false,true
msgSender,createTokens,12,false,true
tokenCreationCap,createTokens,12,false,true
totalSupply,createTokens,12,false,true
allowance,increaseAllowance,14,false,true
msgSender,increaseAllowance,14,false,true
tokenExchangeRate,mint,15,false,false
createTokens,mint,15,false,false
spentTotal,allowance,16,false,false
allowanceTotal,allowance,16,false,false
decreaseTotal,allowance,16,false,false
msgSender,transfer,18,false,true
balanceOf,transfer,18,false,true
msgSender,transferFrom,19,false,true
balanceOf,transferFrom,19,false,true
allowance,transferFrom,19,false,true
burn,totalBurn,20,true,false
mint,totalMint,21,true,false
allMint,totalSupply,22,false,false
allBurn,totalSupply,22,false,false
decreaseAllowance,decreaseTotal,23,true,false
tokenCreationMin,refund,24,false,true
batFundDeposit,refund,24,false,true
fundingEndBlock,refund,24,false,true
isFinalized,refund,24,false,true
msgSender,refund,24,false,true
now,refund,24,false,true
totalSupply,refund,24,false,true
balanceOf,refund,24,false,true
isFinalized,finalize,25,false,true
totalSupply,finalize,25,false,true
canFinalize,finalize,25,false,true
ethFundDeposit,finalize,25,false,true
msgSender,finalize,25,false,true
tokenCreationMin,finalize,25,false,true
totalBalances,unequalBalance,26,false,false
totalSupply,unequalBalance,26,false,false
now,canFinalize,28,false,false
fundingEndBlock,canFinalize,28,false,false
transfer,totalOut,30,true,false
balanceOf,totalBalances,31,true,false
finalize,send,33,false,false
totalEthRaised,send,33,false,false
ethFundDeposit,send,33,false,false
transferFrom,spentTotal,35,true,false
refund,burn,36,false,false
refund,send,37,false,false
tokenExchangeRate,send,37,false,false
transfer,totalIn,41,true,false
