#body,head,ruleId,isAgg,isTx
totalInitial,balanceOf,0,false,false
totalMintedBy,balanceOf,0,false,false
totalReserved,balanceOf,0,false,false
mintApeAction,totalMinted,2,true,false
initialBalance,totalInitial,4,true,false
reserveApesAction,initialBalance,6,false,false
mintApeAction,initialBalance,7,false,false
initialSupply,totalSupply,8,false,false
totalReserve,totalSupply,8,false,false
owner,totalSupply,8,false,false
totalMinted,totalSupply,8,false,false
flipSaleStateAction,saleIsActive,10,false,false
reserveApesAction,totalReserved,11,true,false
owner,setRevealTimestampAction,12,false,true
msgSender,setRevealTimestampAction,12,false,true
owner,mintApeAction,13,false,true
msgValue,mintApeAction,13,false,true
totalSupply,mintApeAction,13,false,true
saleIsActive,mintApeAction,13,false,true
msgSender,mintApeAction,13,false,true
MAX_APES,mintApeAction,13,false,true
owner,flipSaleStateAction,14,false,true
saleIsActive,flipSaleStateAction,14,false,true
msgSender,flipSaleStateAction,14,false,true
reserveApesAction,totalReserve,15,true,false
msgSender,flipSaleStateAction,16,false,true
owner,flipSaleStateAction,16,false,true
saleIsActive,flipSaleStateAction,16,false,true
setRevealTimestampAction,REVEAL_TIMESTAMP,17,false,false
mintApeAction,totalMintedBy,19,true,false
totalSupply,reserveApesAction,20,false,true
MAX_APES,reserveApesAction,20,false,true
msgSender,reserveApesAction,20,false,true
owner,reserveApesAction,20,false,true
