#body,head,ruleId,isAgg,isTx
paused,increaseAllowance,0,false,true
msgSender,increaseAllowance,0,false,true
allowed,increaseAllowance,0,false,true
paused,increaseAllowance,1,false,true
msgSender,increaseAllowance,1,false,true
unpause,onceUnpaused,2,false,false
distributeTokens,transfer,3,false,false
this,transfer,3,false,false
paused,noEtherTransfer,6,false,false
dead,noEtherTransfer,6,false,false
transferOwnership,owner,7,false,false
msgSender,distributeBonusTokens,8,false,true
balances,distributeBonusTokens,8,false,true
owner,distributeBonusTokens,8,false,true
bonusDistributionAddress,distributeBonusTokens,8,false,true
msgSender,transferOwnership,9,false,true
owner,transferOwnership,9,false,true
changeFountainContractAddress,fountainContractAddress,10,false,false
finalizeTokenSale,tokenSaleActive,12,false,false
transfer,totalOut,13,true,false
increaseAllowance,allowanceTotal,14,true,false
pause,paused,15,false,false
paused,decreaseAllowance,16,false,true
allowed,decreaseAllowance,16,false,true
msgSender,decreaseAllowance,16,false,true
tokenSaleActive,finalizeTokenSale,17,false,true
balances,finalizeTokenSale,17,false,true
owner,finalizeTokenSale,17,false,true
companyTokens,finalizeTokenSale,17,false,true
this,finalizeTokenSale,17,false,true
fountainContractAddress,finalizeTokenSale,17,false,true
msgSender,finalizeTokenSale,17,false,true
msgSender,decreaseAllowance,18,false,true
allowed,decreaseAllowance,18,false,true
paused,decreaseAllowance,18,false,true
onceUnpaused,transferBeforeUnpause,19,false,true
allowanceTotal,allowed,20,false,false
decreaseTotal,allowed,20,false,false
spentTotal,allowed,20,false,false
transfer,totalIn,21,true,false
decreaseAllowance,decreaseTotal,22,true,false
this,burn,23,false,false
finalizeTokenSale,burn,23,false,false
paused,transferFrom,24,false,true
balances,transferFrom,24,false,true
msgSender,transferFrom,24,false,true
allowed,transferFrom,24,false,true
owner,toggleDead,25,false,true
msgSender,toggleDead,25,false,true
dead,toggleDead,25,false,true
finalizeTokenSale,increaseAllowance,26,false,false
companyTokens,increaseAllowance,26,false,false
this,increaseAllowance,26,false,false
fountainContractAddress,increaseAllowance,26,false,false
toggleDead,dead,29,false,false
transferFrom,spentTotal,30,true,false
owner,changeFountainContractAddress,31,false,true
msgSender,changeFountainContractAddress,31,false,true
this,changeFountainContractAddress,31,false,true
tokenSaleActive,distributeTokens,33,false,true
msgSender,distributeTokens,33,false,true
owner,distributeTokens,33,false,true
burn,totalBurn,34,true,false
unpause,paused,35,false,false
dead,toggleDead,36,false,true
msgSender,toggleDead,36,false,true
owner,toggleDead,36,false,true
msgSender,unpause,37,false,true
owner,unpause,37,false,true
paused,unpause,37,false,true
initialSupply,companyTokens,38,false,false
msgSender,transfer,39,false,true
paused,transfer,39,false,true
balances,transfer,39,false,true
burnTotal,totalSupply,41,false,false
initialSupply,totalSupply,41,false,false
burn,burnTotal,42,true,false
finalizeTokenSale,onceEndSale,43,false,false
paused,decreaseAllowance,44,false,true
allowed,decreaseAllowance,44,false,true
msgSender,decreaseAllowance,44,false,true
transferFrom,transfer,45,false,false
paused,pause,46,false,true
owner,pause,46,false,true
msgSender,pause,46,false,true
distributeBonusTokens,transfer,47,false,false
bonusDistributionAddress,transfer,47,false,false
onceEndSale,transferAfterEndSale,48,false,true
totalIn,balances,51,false,false
totalBurn,balances,51,false,false
totalOut,balances,51,false,false
