#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
buyToken,raised,2,true,false
totalMint,balanceOf,3,false,false
totalIn,balanceOf,3,false,false
totalOut,balanceOf,3,false,false
totalBurn,balanceOf,3,false,false
transferFrom,spentTotal,4,true,false
increaseAllowance,allowanceTotal,6,true,false
mint,allMint,7,true,false
now,buyToken,8,false,true
finalized,buyToken,8,false,true
end,buyToken,8,false,true
rate,buyToken,8,false,true
start,buyToken,8,false,true
burn,totalBurn,9,true,false
mint,totalMint,10,true,false
allMint,totalSupply,11,false,false
allBurn,totalSupply,11,false,false
msgSender,burn,12,false,true
balanceOf,burn,12,false,true
owner,burn,12,false,true
finalize,onceFinalize,13,false,false
msgSender,finalize,15,false,true
raised,finalize,15,false,true
cap,finalize,15,false,true
owner,finalize,15,false,true
finalized,finalize,15,false,true
buyToken,mint,16,false,false
finalize,finalized,17,false,false
balanceOf,transfer,18,false,true
msgSender,transfer,18,false,true
transfer,totalOut,19,true,false
allowanceTotal,allowance,20,false,false
spentTotal,allowance,20,false,false
owner,mint,21,false,true
msgSender,mint,21,false,true
allowance,increaseAllowance,22,false,true
msgSender,increaseAllowance,22,false,true
msgSender,transferFrom,23,false,true
balanceOf,transferFrom,23,false,true
allowance,transferFrom,23,false,true
burn,allBurn,24,true,false
now,finalize,25,false,true
msgSender,finalize,25,false,true
end,finalize,25,false,true
finalized,finalize,25,false,true
owner,finalize,25,false,true
transfer,totalIn,26,true,false
raised,illegalFinalization,27,false,false
now,illegalFinalization,27,false,false
cap,illegalFinalization,27,false,false
onceFinalize,illegalFinalization,27,false,false
end,illegalFinalization,27,false,false
onceFinalize,buyAfterFinalize,28,false,true
