#body,head,ruleId,isAgg,isTx
close,closed,0,false,false
refund,send,1,false,false
withdraw,send,3,false,false
raised,invest,4,false,true
closeTime,invest,4,false,true
target,invest,4,false,true
now,invest,4,false,true
closed,invest,4,false,true
msgValue,invest,4,false,true
msgSender,invest,4,false,true
investTotal,balanceOf,6,false,false
refundTotal,balanceOf,6,false,false
closed,missingFund,7,false,false
totalBalance,missingFund,7,false,false
raised,missingFund,7,false,false
invest,investTotal,8,true,false
raised,close,10,false,true
target,close,10,false,true
closed,close,10,false,true
balanceOf,refund,12,false,true
target,refund,12,false,true
closed,refund,12,false,true
raised,refund,12,false,true
raised,withdraw,13,false,true
thisBalance,withdraw,13,false,true
beneficiary,withdraw,13,false,true
target,withdraw,13,false,true
closed,withdraw,13,false,true
now,close,17,false,true
closeTime,close,17,false,true
closed,close,17,false,true
invest,raised,18,true,false
refund,refundTotal,19,true,false
balanceOf,totalBalance,20,true,false
