#body,head,ruleId,isAgg,isTx
approve,allowance,0,false,false
msgSender,pushAction,1,false,true
msgSender,mint,2,false,true
wards,mint,2,false,true
deny,wards,3,false,false
msgSender,moveAction,4,false,true
allowance,moveAction,4,false,true
msgSender,burnSelf,5,false,true
allowance,pullAction,6,false,true
msgSender,pullAction,6,false,true
allowance,transferFrom,8,false,true
msgSender,transferFrom,8,false,true
msgSender,transfer,9,false,true
msgSender,approve,10,false,true
rely,wards,11,false,false
msgSender,deny,12,false,true
wards,deny,12,false,true
allowance,burnFrom,13,false,true
msgSender,burnFrom,13,false,true
wards,rely,14,false,true
msgSender,rely,14,false,true
