#body,head,ruleId,isAgg,isTx
owner,allowTransfers,0,false,true
msgSender,allowTransfers,0,false,true
msgSender,acceptOwnership,2,false,true
newOwner,acceptOwnership,2,false,true
isReleasedToPublic,canTransfer,3,false,false
msgSender,canTransfer,3,false,false
decreaseTotal,allowance,4,false,false
spentTotal,allowance,4,false,false
allowanceTotal,allowance,4,false,false
addToAllocationTotal,totalAllocated,5,false,false
totalAllocatedToAdvisors,totalAllocated,5,false,false
totalAllocatedToTeam,totalAllocated,5,false,false
retrieveUnsoldTotal,totalAllocated,5,false,false
incentivisationAllocation,totalAllocated,5,false,false
now,retrieveUnsoldTokens,6,false,true
crowdFundAddress,retrieveUnsoldTokens,6,false,true
balanceOf,retrieveUnsoldTokens,6,false,true
endTime,retrieveUnsoldTokens,6,false,true
msgSender,retrieveUnsoldTokens,6,false,true
owner,retrieveUnsoldTokens,6,false,true
transferFrom,transfer,7,false,false
incentivisationFundAddress,canTransfer,12,false,false
msgSender,canTransfer,12,false,false
releaseEnjinTeamTokens,mint,14,false,false
enjinTeamAddress,mint,14,false,false
acceptOwnership,owner,15,false,false
mint,totalMint,16,true,false
releaseAdvisorTokens,totalAllocatedToAdvisors,17,false,false
decreaseAllowance,decreaseTotal,19,true,false
crowdFundAddress,canTransfer,20,false,false
msgSender,canTransfer,20,false,false
crowdFundAddress,transfer,21,false,false
incentivisationFundAddress,transfer,21,false,false
retrieveUnsoldTokens,transfer,21,false,false
allowance,decreaseAllowance,22,false,true
msgSender,decreaseAllowance,22,false,true
allowTransfers,isReleasedToPublic,23,false,false
acceptOwnership,newOwner,25,false,false
totalAllocatedToAdvisors,releaseAdvisorTokens,27,false,true
advisorsAllocation,releaseAdvisorTokens,27,false,true
owner,releaseAdvisorTokens,27,false,true
endTime,releaseAdvisorTokens,27,false,true
now,releaseAdvisorTokens,27,false,true
msgSender,releaseAdvisorTokens,27,false,true
transfer,totalOut,28,true,false
balanceOf,totalBalances,29,true,false
totalAllocatedToTeam,releaseEnjinTeamTokens,31,false,true
teamTranchesReleased,releaseEnjinTeamTokens,31,false,true
msgSender,releaseEnjinTeamTokens,31,false,true
endTime,releaseEnjinTeamTokens,31,false,true
enjinTeamAllocation,releaseEnjinTeamTokens,31,false,true
owner,releaseEnjinTeamTokens,31,false,true
teamTranchAmount,releaseEnjinTeamTokens,31,false,true
now,releaseEnjinTeamTokens,31,false,true
retrieveUnsoldTokens,retrieveUnsoldTotal,32,true,false
msgSender,transferFrom,33,false,true
balanceOf,transferFrom,33,false,true
canTransfer,transferFrom,33,false,true
allowance,transferFrom,33,false,true
totalOut,balanceOf,34,false,false
totalMint,balanceOf,34,false,false
totalIn,balanceOf,34,false,false
owner,transferOwnership,35,false,true
msgSender,transferOwnership,35,false,true
transferFrom,spentTotal,37,true,false
advisorAddress,mint,38,false,false
releaseAdvisorTokens,mint,38,false,false
releaseEnjinTeamTokens,totalAllocatedToTeam,39,true,false
crowdFundAddress,addToAllocation,41,false,true
msgSender,addToAllocation,41,false,true
totalAllocatedToTeam,teamExceed,42,false,false
enjinTeamAllocation,teamExceed,42,false,false
balanceOf,transfer,43,false,true
msgSender,transfer,43,false,true
canTransfer,transfer,43,false,true
teamTranchAmount,teamTranchesReleased,48,false,false
totalAllocatedToTeam,teamTranchesReleased,48,false,false
transferOwnership,newOwner,50,false,false
transfer,totalIn,51,true,false
addToAllocation,addToAllocationTotal,52,true,false
increaseAllowance,allowanceTotal,53,true,false
endTime,canTransfer,54,false,false
now,canTransfer,54,false,false
msgSender,canTransfer,54,false,false
msgSender,increaseAllowance,55,false,true
allowance,increaseAllowance,55,false,true
totalBalances,exceedSupply,56,false,false
totalSupply,exceedSupply,56,false,false
totalAllocatedToAdvisors,advisorExceed,57,false,false
advisorsAllocation,advisorExceed,57,false,false
