#body,head,ruleId,isAgg,isTx
mint,ownerOf,0,false,false
burn,ownerOf,1,false,false
transferFrom,initialBalance,2,false,false
msgSender,burn,3,false,true
ownerOf,burn,3,false,true
mint,initialApproval,4,false,false
transferFrom,totalIn,5,true,false
owner,mint,6,false,true
msgSender,mint,6,false,true
burn,initialApproval,7,false,false
msgSender,setApprovalForAllAction,8,false,true
approveAction,getApproved,9,false,false
approveAction,initialApproval,11,false,false
transferFrom,getApproved,12,false,false
msgSender,approveAction,13,false,true
ownerOf,approveAction,13,false,true
burn,totalBurn,14,true,false
ownerOf,invalidOwnership,15,false,false
burn,getApproved,16,false,false
mint,initialBalance,17,false,false
totalMint,balanceOf,18,false,false
totalOut,balanceOf,18,false,false
totalIn,balanceOf,18,false,false
totalBurn,balanceOf,18,false,false
totalInitial,balanceOf,18,false,false
transferFrom,ownerOf,19,false,false
getApproved,burn,20,false,true
ownerOf,burn,20,false,true
msgSender,burn,20,false,true
initialBalance,totalInitial,21,true,false
initialApproval,getApproved,22,false,false
msgSender,transferFrom,23,false,true
isApprovedForAll,transferFrom,23,false,true
ownerOf,transferFrom,23,false,true
transferFrom,initialBalance,24,false,false
burn,initialBalance,25,false,false
msgSender,transferFrom,26,false,true
getApproved,transferFrom,26,false,true
ownerOf,transferFrom,26,false,true
ownerOf,transferFrom,27,false,true
msgSender,transferFrom,27,false,true
setApprovalForAllAction,isApprovedForAll,28,false,false
transferFrom,initialApproval,29,false,false
mint,totalMint,30,true,false
transferFrom,totalOut,31,true,false
