#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
rate,mint,1,false,true
start,mint,1,false,true
now,mint,1,false,true
end,mint,1,false,true
mint,allMint,3,true,false
onceFinalize,buyAfterFinalization,4,false,true
totalMint,balanceOf,6,false,false
totalIn,balanceOf,6,false,false
totalOut,balanceOf,6,false,false
totalBurn,balanceOf,6,false,false
finalize,finalized,7,false,false
transferFrom,spentTotal,8,true,false
onceFinalize,endedAfterFinalize,10,false,false
now,endedAfterFinalize,10,false,false
end,endedAfterFinalize,10,false,false
increaseAllowance,allowanceTotal,11,true,false
burn,totalBurn,12,true,false
mint,totalMint,13,true,false
allMint,totalSupply,14,false,false
allBurn,totalSupply,14,false,false
balanceOf,burn,15,false,true
owner,burn,15,false,true
msgSender,burn,15,false,true
finalize,onceFinalize,16,false,false
balanceOf,transfer,17,false,true
msgSender,transfer,17,false,true
transfer,totalOut,18,true,false
allowanceTotal,allowance,19,false,false
spentTotal,allowance,19,false,false
owner,mint,20,false,true
msgSender,mint,20,false,true
allowance,increaseAllowance,21,false,true
msgSender,increaseAllowance,21,false,true
allowance,transferFrom,22,false,true
msgSender,transferFrom,22,false,true
balanceOf,transferFrom,22,false,true
burn,allBurn,23,true,false
finalized,finalize,24,false,true
end,finalize,24,false,true
now,finalize,24,false,true
owner,finalize,24,false,true
msgSender,finalize,24,false,true
transfer,totalIn,25,true,false
