#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
mint,allMint,1,true,false
decreaseAllowance,decreaseTotal,2,true,false
transferOwnership,owner,3,false,false
saleStartTime,salePeriodActive,5,false,false
saleEndTime,salePeriodActive,5,false,false
now,salePeriodActive,5,false,false
burn,allBurn,6,true,false
increaseAllowance,allowanceTotal,7,true,false
burnFrom,burn,9,false,false
allowance,transferFrom,10,false,true
this,transferFrom,10,false,true
msgSender,transferFrom,10,false,true
balanceOf,transferFrom,10,false,true
tokenSaleContract,transferFrom,10,false,true
salePeriodActive,transferFrom,10,false,true
balanceOf,burnFrom,12,false,true
salePeriodInactive,burnFrom,12,false,true
msgSender,burnFrom,12,false,true
allowance,burnFrom,12,false,true
this,burnFrom,12,false,true
salePeriodInactive,transferFrom,14,false,true
this,transferFrom,14,false,true
msgSender,transferFrom,14,false,true
allowance,transferFrom,14,false,true
balanceOf,transferFrom,14,false,true
allowanceTotal,allowance,15,false,false
decreaseTotal,allowance,15,false,false
spentTotal,allowance,15,false,false
balanceOf,burn,16,false,true
salePeriodInactive,burn,16,false,true
msgSender,burn,16,false,true
burn,totalBurn,17,true,false
mint,totalMint,18,true,false
allMint,totalSupply,19,false,false
allBurn,totalSupply,19,false,false
salePeriodActive,burnFrom,20,false,true
balanceOf,burnFrom,20,false,true
msgSender,burnFrom,20,false,true
tokenSaleContract,burnFrom,20,false,true
this,burnFrom,20,false,true
allowance,burnFrom,20,false,true
totalBalances,unequalBalance,21,false,false
totalSupply,unequalBalance,21,false,false
transfer,totalOut,22,true,false
balanceOf,totalBalances,23,true,false
burnFrom,transferFrom,24,false,false
msgSender,transferOwnership,25,false,true
owner,transferOwnership,25,false,true
saleEndTime,salePeriodInactive,26,false,false
now,salePeriodInactive,26,false,false
totalBurn,balanceOf,27,false,false
totalIn,balanceOf,27,false,false
totalOut,balanceOf,27,false,false
totalMint,balanceOf,27,false,false
transferFrom,spentTotal,28,true,false
allowance,increaseAllowance,29,false,true
msgSender,increaseAllowance,29,false,true
saleStartTime,salePeriodInactive,30,false,false
now,salePeriodInactive,30,false,false
balanceOf,transfer,32,false,true
this,transfer,32,false,true
msgSender,transfer,32,false,true
salePeriodInactive,transfer,32,false,true
tokenSaleContract,transfer,33,false,true
this,transfer,33,false,true
balanceOf,transfer,33,false,true
msgSender,transfer,33,false,true
salePeriodActive,transfer,33,false,true
allowance,decreaseAllowance,35,false,true
msgSender,decreaseAllowance,35,false,true
msgSender,burn,37,false,true
salePeriodActive,burn,37,false,true
tokenSaleContract,burn,37,false,true
balanceOf,burn,37,false,true
transfer,totalIn,38,true,false
