#body,head,ruleId,isAgg,isTx
approve,allowance,0,false,false
startAction,stopped,1,false,false
stopped,pushAction,2,false,true
msgSender,pushAction,2,false,true
owner,burn,4,false,true
msgSender,burn,4,false,true
stopped,burn,4,false,true
msgSender,setOwner,5,false,true
owner,setOwner,5,false,true
stopped,stopAction,6,false,true
msgSender,stopAction,6,false,true
owner,stopAction,6,false,true
msgSender,transfer,7,false,true
stopped,transfer,7,false,true
stopAction,stopped,8,false,false
owner,startAction,10,false,true
msgSender,startAction,10,false,true
stopped,startAction,10,false,true
msgSender,approve,11,false,true
stopped,approve,11,false,true
setOwner,owner,12,false,false
msgSender,mint,13,false,true
owner,mint,13,false,true
stopped,mint,13,false,true
stopped,transferFrom,14,false,true
allowance,transferFrom,14,false,true
msgSender,transferFrom,14,false,true
allowance,pullAction,15,false,true
msgSender,pullAction,15,false,true
stopped,pullAction,15,false,true
stopped,moveAction,16,false,true
allowance,moveAction,16,false,true
msgSender,moveAction,16,false,true
