#body,head,ruleId,isAgg,isTx
latestTransfer,ownerOf,0,false,false
msgSender,approval,1,false,true
ownerOf,approval,1,false,true
msgSender,isApprovedForAll,2,false,true
owner,transfer,3,false,true
msgSender,transfer,3,false,true
now,transfer,3,false,true
exists,transfer,3,false,true
ownerOf,approved,4,false,false
approval,approved,4,false,false
ownerOf,balanceOf,5,true,false
approved,transfer,6,false,true
now,transfer,6,false,true
now,transfer,7,false,true
ownerOf,transfer,7,false,true
isApprovedForAll,transfer,7,false,true
msgSender,transfer,7,false,true
ownerOf,tokenNoOwner,8,false,false
exists,tokenNoOwner,8,false,false
ownerOf,transfer,9,false,true
msgSender,transfer,9,false,true
now,transfer,9,false,true
latestTransfer,exists,11,false,false
now,transfer,12,false,true
owner,transfer,12,false,true
ownerOf,transfer,12,false,true
exists,transfer,12,false,true
msgSender,transfer,12,false,true
transfer,latestTransfer,13,true,false
