#body,head,ruleId,isAgg,isTx
finalizeSetup,setupPhase,0,false,false
setupPhase,addAfterSetup,2,false,true
addPayee,released,3,false,false
shares,addPayee,4,false,true
msgSender,addPayee,4,false,true
setupPhase,addPayee,4,false,true
owner,addPayee,4,false,true
release,send,5,false,false
totalReleaseOf,released,7,false,false
addPayee,totalShares,9,true,false
owner,finalizeSetup,10,false,true
totalShares,finalizeSetup,10,false,true
setupPhase,finalizeSetup,10,false,true
msgSender,finalizeSetup,10,false,true
totalReleased,overPayment,11,false,false
shares,overPayment,11,false,false
released,overPayment,11,false,false
totalShares,overPayment,11,false,false
thisBalance,overPayment,11,false,false
release,totalReleased,12,true,false
addPayee,shares,13,true,false
release,totalReleaseOf,15,true,false
shares,release,16,false,true
thisBalance,release,16,false,true
totalShares,release,16,false,true
setupPhase,release,16,false,true
released,release,16,false,true
totalReleased,release,16,false,true
