#body,head,ruleId,isAgg,isTx
allowance,decreaseAllowance,0,false,true
msgSender,decreaseAllowance,0,false,true
owner,blacklistAction,1,false,true
msgSender,blacklistAction,1,false,true
initialMint,totalInitial,2,true,false
transfer,totalInTransfer,3,true,false
msgSender,decreaseAllowance,4,false,true
allowance,decreaseAllowance,4,false,true
transferFrom,initialMint,5,false,false
transfer,initialMint,6,false,false
transfer,totalOutTransfer,7,true,false
setRuleAction,limited,8,false,false
decreaseAllowance,decreaseAllowanceTotal,9,true,false
transfer,initialMint,11,false,false
transferFrom,spentTotal,12,true,false
msgSender,transferFrom,13,false,true
allowance,transferFrom,13,false,true
balanceOf,transferFrom,13,false,true
setRuleAction,minHoldingAmount,14,false,false
increaseAllowance,increaseAllowanceTotal,15,true,false
transferFrom,totalOutTransferFrom,17,true,false
transferFrom,initialMint,20,false,false
setRuleAction,uniswapV2Pair,21,false,false
totalBurn,balanceOf,22,false,false
totalInTransfer,balanceOf,22,false,false
totalInitial,balanceOf,22,false,false
totalInTransferFrom,balanceOf,22,false,false
totalOutTransferFrom,balanceOf,22,false,false
totalOutTransfer,balanceOf,22,false,false
setRuleAction,maxHoldingAmount,23,false,false
msgSender,burn,25,false,true
balanceOf,burn,25,false,true
msgSender,setRuleAction,26,false,true
owner,setRuleAction,26,false,true
burn,initialMint,27,false,false
burn,totalBurn,28,true,false
allowance,increaseAllowance,29,false,true
msgSender,increaseAllowance,29,false,true
spentTotal,allowance,32,false,false
decreaseAllowanceTotal,allowance,32,false,false
increaseAllowanceTotal,allowance,32,false,false
balanceOf,transfer,33,false,true
msgSender,transfer,33,false,true
msgSender,increaseAllowance,34,false,true
transferFrom,totalInTransferFrom,35,true,false
