#body,head,ruleId,isAgg,isTx
totalInitial,balanceOf,0,false,false
totalMintedBy,balanceOf,0,false,false
initialBalance,totalInitial,1,true,false
mintAction,totalMintedBy,2,true,false
mintAction,initialBalance,3,false,false
msgSender,pauseAction,5,false,true
owner,pauseAction,5,false,true
owner,withdrawCreator,10,false,true
creatorAddress,withdrawCreator,10,false,true
msgSender,withdrawCreator,10,false,true
withdrawDev,send,11,false,false
PRICE,mintAction,13,false,true
owner,mintAction,13,false,true
msgSender,mintAction,13,false,true
msgValue,mintAction,13,false,true
MAX_BY_MINT,mintAction,13,false,true
pauseAction,paused,16,false,false
setBaseURIAction,baseURIMarker,17,false,false
msgSender,withdrawDev,18,false,true
devAddress,withdrawDev,18,false,true
owner,withdrawDev,18,false,true
msgSender,setBaseURIAction,19,false,true
owner,setBaseURIAction,19,false,true
PRICE,mintAction,20,false,true
msgValue,mintAction,20,false,true
paused,mintAction,20,false,true
MAX_BY_MINT,mintAction,20,false,true
msgSender,mintAction,20,false,true
owner,mintAction,20,false,true
withdrawCreator,send,21,false,false
