#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
allowance,transferFrom,1,false,true
balanceOf,transferFrom,1,false,true
paused,transferFrom,1,false,true
msgSender,transferFrom,1,false,true
mint,allMint,2,true,false
spentTotal,allowance,3,false,false
decreaseTotal,allowance,3,false,false
allowanceTotal,allowance,3,false,false
balanceOf,transfer,4,false,true
paused,transfer,4,false,true
msgSender,transfer,4,false,true
mint,totalMint,5,true,false
totalOut,balanceOf,7,false,false
totalIn,balanceOf,7,false,false
totalMint,balanceOf,7,false,false
msgSender,decreaseAllowance,8,false,true
allowance,decreaseAllowance,8,false,true
paused,pause,9,false,true
owner,pause,9,false,true
msgSender,pause,9,false,true
decreaseAllowance,decreaseTotal,10,true,false
totalBalances,unequalBalance,12,false,false
totalSupply,unequalBalance,12,false,false
pause,paused,13,false,false
transferOwnership,owner,14,false,false
totalSupply,migrateBalance,16,false,true
msgSender,migrateBalance,16,false,true
owner,migrateBalance,16,false,true
targetSupply,migrateBalance,16,false,true
unpause,paused,17,false,false
allMint,totalSupply,18,false,false
targetSupply,unpause,19,false,true
owner,unpause,19,false,true
totalSupply,unpause,19,false,true
msgSender,unpause,19,false,true
paused,unpause,19,false,true
totalSupply,exceedTarget,20,false,false
targetSupply,exceedTarget,20,false,false
transfer,totalOut,21,true,false
balanceOf,totalBalances,22,true,false
owner,transferOwnership,23,false,true
msgSender,transferOwnership,23,false,true
paused,unpausedBeforeInit,24,false,false
totalSupply,unpausedBeforeInit,24,false,false
targetSupply,unpausedBeforeInit,24,false,false
transferFrom,spentTotal,25,true,false
allowance,increaseAllowance,26,false,true
msgSender,increaseAllowance,26,false,true
transfer,totalIn,30,true,false
increaseAllowance,allowanceTotal,31,true,false
migrateBalance,mint,32,false,false
