#body,head,ruleId,isAgg,isTx
msgSender,transferFrom,0,false,true
allowance,transferFrom,0,false,true
balanceOf,transferFrom,0,false,true
transfersEnabled,transferFrom,0,false,true
controller,transferFrom,0,false,true
this,transferFrom,0,false,true
changeController,controller,1,false,false
destroyTokens,burn,2,false,false
mint,allMint,3,true,false
decreaseAllowance,decreaseTotal,4,true,false
transfersEnabled,decreaseAllowance,5,false,true
allowance,decreaseAllowance,5,false,true
msgSender,decreaseAllowance,5,false,true
totalMint,balanceOf,6,false,false
totalIn,balanceOf,6,false,false
totalBurn,balanceOf,6,false,false
totalOut,balanceOf,6,false,false
balanceOf,balanceAt,8,false,false
now,balanceAt,8,false,false
balanceOf,destroyTokens,9,false,true
controller,destroyTokens,9,false,true
msgSender,destroyTokens,9,false,true
burn,allBurn,10,true,false
transfer,totalIn,11,true,false
increaseAllowance,allowanceTotal,12,true,false
transfersEnabled,increaseAllowance,13,false,true
allowance,increaseAllowance,13,false,true
msgSender,increaseAllowance,13,false,true
transferFrom,transfer,14,false,false
generateTokens,mint,15,false,false
now,totalSupplyAt,16,false,false
totalSupply,totalSupplyAt,16,false,false
this,transferFrom,17,false,true
msgSender,transferFrom,17,false,true
controller,transferFrom,17,false,true
balanceOf,transferFrom,17,false,true
allowanceTotal,allowance,18,false,false
spentTotal,allowance,18,false,false
decreaseTotal,allowance,18,false,false
controller,transferFromNonController,19,false,true
balanceOf,transferFromNonController,19,false,true
this,transferFromNonController,19,false,true
transfersEnabled,transferFromNonController,19,false,true
msgSender,transferFromNonController,19,false,true
allowance,transferFromNonController,19,false,true
transferFromNonController,spentTotal,20,true,false
transfersEnabled,transfer,21,false,true
balanceOf,transfer,21,false,true
msgSender,transfer,21,false,true
this,transfer,21,false,true
burn,totalBurn,22,true,false
mint,totalMint,23,true,false
allMint,totalSupply,24,false,false
allBurn,totalSupply,24,false,false
enableTransfers,transfersEnabled,25,false,false
totalBalances,unequalBalance,26,false,false
totalSupply,unequalBalance,26,false,false
controller,enableTransfers,29,false,true
msgSender,enableTransfers,29,false,true
controller,changeController,30,false,true
msgSender,changeController,30,false,true
transfer,totalOut,31,true,false
controller,generateTokens,32,false,true
msgSender,generateTokens,32,false,true
balanceOf,totalBalances,33,true,false
