#body,head,ruleId,isAgg,isTx
mint,allMint,1,true,false
distributeInterests,lastDistributeTime,2,true,false
balanceOf,transfer,3,false,true
canSend,transfer,3,false,true
canRecv,transfer,3,false,true
msgSender,transfer,3,false,true
totalBalances,unequalBalance,4,false,false
totalSupply,unequalBalance,4,false,false
totalIn,balanceOf,5,false,false
totalMint,balanceOf,5,false,false
totalBurn,balanceOf,5,false,false
totalOut,balanceOf,5,false,false
transferFrom,spentTotal,6,true,false
distributeInterests,distributeTotal,8,true,false
transfer,totalIn,9,true,false
permission,canSend,10,false,false
transferFrom,transfer,11,false,false
burn,totalBurn,12,true,false
mint,totalMint,13,true,false
now,canRecv,14,false,false
permission,canRecv,14,false,false
msgSender,burn,15,false,true
balanceOf,burn,15,false,true
owner,burn,15,false,true
lastDistributeTime,distributeInterests,16,false,true
minInterval,distributeInterests,16,false,true
now,distributeInterests,16,false,true
transfer,totalOut,17,true,false
balanceOf,totalBalances,18,true,false
allBurn,totalSupply,19,false,false
distributeTotal,totalSupply,19,false,false
allMint,totalSupply,19,false,false
allowance,transferFrom,20,false,true
canRecv,transferFrom,20,false,true
balanceOf,transferFrom,20,false,true
msgSender,transferFrom,20,false,true
canSend,transferFrom,20,false,true
permission,canSend,21,false,false
now,canSend,21,false,false
permission,canRecv,22,false,false
allowanceTotal,allowance,23,false,false
spentTotal,allowance,23,false,false
msgSender,mint,24,false,true
owner,mint,24,false,true
burn,allBurn,25,true,false
msgSender,increaseAllowance,26,false,true
allowance,increaseAllowance,26,false,true
increaseAllowance,allowanceTotal,27,true,false
