#body,head,ruleId,isAgg,isTx
delegateSet,initialBalance,0,false,false
msgSender,delegateSet,1,false,true
totalInitial,balanceOf,2,false,false
totalOut,balanceOf,2,false,false
totalIn,balanceOf,2,false,false
delegateSet,delegates,3,false,false
transfer,outVal,4,false,false
delegateSet,delegateActionCount,5,true,false
delegateSet,initialBalance,6,false,false
delegates,votes,7,true,false
initialBalance,totalInitial,8,true,false
initialBalance,outVal,9,false,false
delegateActionCount,repeatedDelegation,10,false,false
msgSender,transfer,11,false,true
balanceOf,transfer,11,false,true
transfer,initialBalance,12,false,false
transfer,inVal,13,false,false
initialBalance,inVal,14,false,false
 ,delegateSet,15,false,true
transfer,initialBalance,16,false,false
inVal,totalIn,17,true,false
outVal,totalOut,20,true,false
