#body,head,ruleId,isAgg,isTx
mint,reserve0Add,0,false,false
lpMint,allLpMint,1,true,false
reserve1Add,allReserve1Add,2,true,false
burn,reserve1Sub,3,false,false
initialized,mint,6,false,true
initialized,swap,7,false,true
msgSender,swap,7,false,true
swap,reserve1Sub,8,false,false
allReserve1Sub,reserve1,10,false,false
allReserve1Add,reserve1,10,false,false
swap,reserve0Sub,11,false,false
msgSender,initialize,12,false,true
initialized,initialize,12,false,true
factory,initialize,12,false,true
reserve0Add,allReserve0Add,13,true,false
lpMint,totalLpMint,14,true,false
initialize,token1,16,false,false
allLpBurn,totalSupply,18,false,false
allLpMint,totalSupply,18,false,false
reserve0Sub,allReserve0Sub,20,true,false
initialized,syncAction,21,false,true
msgSender,swap,22,false,true
initialized,swap,22,false,true
initialized,swap,23,false,true
msgSender,swap,23,false,true
burn,lpBurn,24,false,false
swap,reserve0Add,25,false,false
initialize,initialized,27,false,false
allReserve0Add,reserve0,28,false,false
allReserve0Sub,reserve0,28,false,false
msgSender,burn,29,false,true
initialized,burn,29,false,true
lpBalanceOf,burn,29,false,true
burn,reserve0Sub,32,false,false
swap,reserve1Add,33,false,false
mint,reserve1Add,34,false,false
initialize,token0,35,false,false
mint,lpMint,36,false,false
initialized,swap,37,false,true
msgSender,swap,37,false,true
lpBurn,allLpBurn,38,true,false
reserve1Sub,allReserve1Sub,40,true,false
lpBurn,totalLpBurn,41,true,false
totalLpMint,lpBalanceOf,42,false,false
totalLpBurn,lpBalanceOf,42,false,false
