#body,head,ruleId,isAgg,isTx
allowance,increaseAllowance,0,false,true
msgSender,increaseAllowance,0,false,true
msgSender,deposit,1,false,true
msgValue,deposit,1,false,true
mint,allMint,2,true,false
spentTotal,allowance,3,false,false
decreaseTotal,allowance,3,false,false
allowanceTotal,allowance,3,false,false
msgSender,transferFrom,4,false,true
balanceOf,transferFrom,4,false,true
decreaseAllowance,decreaseTotal,5,true,false
totalSupply,unequalBalance,6,false,false
totalBalances,unequalBalance,6,false,false
maxUint,transferFromLimited,7,false,true
balanceOf,transferFromLimited,7,false,true
msgSender,transferFromLimited,7,false,true
allowance,transferFromLimited,7,false,true
deposit,mint,9,false,false
allowance,transferFrom,10,false,true
msgSender,transferFrom,10,false,true
balanceOf,transferFrom,10,false,true
burn,allBurn,11,true,false
transfer,totalIn,12,true,false
transferFrom,transfer,13,false,false
msgSender,decreaseAllowance,14,false,true
allowance,decreaseAllowance,14,false,true
transferFromLimited,spentTotal,15,true,false
burn,totalBurn,16,true,false
mint,totalMint,17,true,false
allBurn,totalSupply,18,false,false
allMint,totalSupply,18,false,false
msgSender,transfer,19,false,true
balanceOf,transfer,19,false,true
transfer,totalOut,20,true,false
msgSender,withdraw,21,false,true
balanceOf,withdraw,21,false,true
balanceOf,totalBalances,22,true,false
totalOut,balanceOf,23,false,false
totalMint,balanceOf,23,false,false
totalIn,balanceOf,23,false,false
totalBurn,balanceOf,23,false,false
withdraw,send,24,false,false
withdraw,burn,25,false,false
increaseAllowance,allowanceTotal,26,true,false
