#body,head,ruleId,isAgg,isTx
allowance,increaseAllowance,0,false,true
msgSender,increaseAllowance,0,false,true
balanceOf,transferFromLimited,2,false,true
msgSender,transferFromLimited,2,false,true
maxUint,transferFromLimited,2,false,true
allowance,transferFromLimited,2,false,true
allowanceTotal,allowance,3,false,false
spentTotal,allowance,3,false,false
decreaseTotal,allowance,3,false,false
decreaseAllowance,decreaseTotal,4,true,false
totalSupply,unequalBalance,5,false,false
totalBalances,unequalBalance,5,false,false
totalMint,balanceOf,6,false,false
totalIn,balanceOf,6,false,false
totalOut,balanceOf,6,false,false
balanceOf,transferFrom,9,false,true
allowance,transferFrom,9,false,true
msgSender,transferFrom,9,false,true
transfer,totalIn,10,true,false
transferFrom,transfer,11,false,false
msgSender,decreaseAllowance,12,false,true
allowance,decreaseAllowance,12,false,true
transferFromLimited,spentTotal,13,true,false
mint,totalMint,14,true,false
balanceOf,transfer,15,false,true
msgSender,transfer,15,false,true
transfer,totalOut,16,true,false
balanceOf,totalBalances,17,true,false
increaseAllowance,allowanceTotal,18,true,false
